country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($),generation
Albania,ALB,1996,male,5-14 years,2,380400,0.53,3314898292,1127,Millenials
Albania,ALB,1996,male,15-24 years,17,243600,6.98,3314898292,1127,Generation X
Albania,ALB,1996,male,25-34 years,14,235300,5.95,3314898292,1127,Generation X
Albania,ALB,1996,male,35-54 years,12,379600,3.16,3314898292,1127,Boomers
Albania,ALB,1996,male,55-74 years,3,179900,1.67,3314898292,1127,Silent
Albania,ALB,1996,male,75+ years,2,25400,7.87,3314898292,1127,G.I. Generation
Albania,ALB,1996,female,5-14 years,1,354100,0.28,3314898292,1127,Millenials
Albania,ALB,1996,female,15-24 years,16,287700,5.56,3314898292,1127,Generation X
Albania,ALB,1996,female,25-34 years,10,267900,3.73,3314898292,1127,Generation X
Albania,ALB,1996,female,35-54 years,9,362000,2.49,3314898292,1127,Boomers
Albania,ALB,1996,female,55-74 years,1,183100,0.55,3314898292,1127,Silent
Albania,ALB,1996,female,75+ years,2,41200,4.85,3314898292,1127,G.I. Generation
Albania,ALB,1997,male,5-14 years,4,381500,1.05,2359903108,793,Millenials
Albania,ALB,1997,male,15-24 years,33,244400,13.5,2359903108,793,Generation X
Albania,ALB,1997,male,25-34 years,36,236000,15.25,2359903108,793,Generation X
Albania,ALB,1997,male,35-54 years,30,380800,7.88,2359903108,793,Boomers
Albania,ALB,1997,male,55-74 years,12,180300,6.66,2359903108,793,Silent
Albania,ALB,1997,male,75+ years,3,25400,11.81,2359903108,793,G.I. Generation
Albania,ALB,1997,female,5-14 years,6,361800,1.66,2359903108,793,Millenials
Albania,ALB,1997,female,15-24 years,21,294000,7.14,2359903108,793,Generation X
Albania,ALB,1997,female,25-34 years,16,273900,5.84,2359903108,793,Generation X
Albania,ALB,1997,female,35-54 years,7,370100,1.89,2359903108,793,Boomers
Albania,ALB,1997,female,55-74 years,0,187000,0,2359903108,793,Silent
Albania,ALB,1997,female,75+ years,2,42100,4.75,2359903108,793,G.I. Generation
Albania,ALB,1998,male,5-14 years,2,388400,0.51,2707123772,899,Millenials
