country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($),generation
Albania,ALB,1992,male,5-14 years,0,362900,0,709452584,251,Millenials
Albania,ALB,1992,male,15-24 years,9,263700,3.41,709452584,251,Generation X
Albania,ALB,1992,male,25-34 years,7,245500,2.85,709452584,251,Boomers
Albania,ALB,1992,male,35-54 years,12,343800,3.49,709452584,251,Boomers
Albania,ALB,1992,male,55-74 years,5,159500,3.13,709452584,251,Silent
Albania,ALB,1992,male,75+ years,0,23900,0,709452584,251,G.I. Generation
Albania,ALB,1992,female,5-14 years,0,336700,0,709452584,251,Millenials
Albania,ALB,1992,female,15-24 years,7,292400,2.39,709452584,251,Generation X
Albania,ALB,1992,female,25-34 years,4,267400,1.5,709452584,251,Boomers
Albania,ALB,1992,female,35-54 years,2,323100,0.62,709452584,251,Boomers
Albania,ALB,1992,female,55-74 years,1,164900,0.61,709452584,251,Silent
Albania,ALB,1992,female,75+ years,0,38700,0,709452584,251,G.I. Generation
Albania,ALB,1993,male,5-14 years,1,367000,0.27,1228071038,437,Millenials
Albania,ALB,1993,male,15-24 years,18,243300,7.4,1228071038,437,Generation X
Albania,ALB,1993,male,25-34 years,9,230100,3.91,1228071038,437,Boomers
Albania,ALB,1993,male,35-54 years,10,350300,2.85,1228071038,437,Boomers
Albania,ALB,1993,male,55-74 years,7,165000,4.24,1228071038,437,Silent
Albania,ALB,1993,male,75+ years,1,24200,4.13,1228071038,437,G.I. Generation
Albania,ALB,1993,female,5-14 years,1,340300,0.29,1228071038,437,Millenials
Albania,ALB,1993,female,15-24 years,10,285300,3.51,1228071038,437,Generation X
Albania,ALB,1993,female,25-34 years,7,261800,2.67,1228071038,437,Boomers
Albania,ALB,1993,female,35-54 years,7,331200,2.11,1228071038,437,Boomers
Albania,ALB,1993,female,55-74 years,2,169500,1.18,1228071038,437,Silent
Albania,ALB,1993,female,75+ years,0,39300,0,1228071038,437,G.I. Generation
Albania,ALB,1994,male,5-14 years,1,371800,0.27,1985673798,697,Millenials
Albania,ALB,1994,male,15-24 years,6,242200,2.48,1985673798,697,Generation X
Albania,ALB,1994,male,25-34 years,6,231400,2.59,1985673798,697,Boomers
Albania,ALB,1994,male,35-54 years,9,362800,2.48,1985673798,697,Boomers
Albania,ALB,1994,male,55-74 years,11,171400,6.42,1985673798,697,Silent
Albania,ALB,1994,male,75+ years,2,24600,8.13,1985673798,697,G.I. Generation
Albania,ALB,1994,female,5-14 years,0,344400,0,1985673798,697,Millenials
Albania,ALB,1994,female,15-24 years,6,282600,2.12,1985673798,697,Generation X
Albania,ALB,1994,female,25-34 years,4,261100,1.53,1985673798,697,Boomers
Albania,ALB,1994,female,35-54 years,2,342500,0.58,1985673798,697,Boomers
