country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($)
Albania,ALB,2006,male,5-14 years,0,282678,0,8992642349,3235
Albania,ALB,2006,male,15-24 years,0,286679,0,8992642349,3235
Albania,ALB,2006,male,25-34 years,0,174092,0,8992642349,3235
Albania,ALB,2006,male,35-54 years,0,379076,0,8992642349,3235
Albania,ALB,2006,male,55-74 years,0,219360,0,8992642349,3235
Albania,ALB,2006,male,75+ years,0,40782,0,8992642349,3235
Albania,ALB,2006,female,5-14 years,0,267316,0,8992642349,3235
Albania,ALB,2006,female,15-24 years,0,283138,0,8992642349,3235
Albania,ALB,2006,female,25-34 years,0,186391,0,8992642349,3235
Albania,ALB,2006,female,35-54 years,0,388746,0,8992642349,3235
Albania,ALB,2006,female,55-74 years,0,215907,0,8992642349,3235
Albania,ALB,2006,female,75+ years,0,56011,0,8992642349,3235
Albania,ALB,2007,male,5-14 years,4,272497,1.47,10701011897,3863
Albania,ALB,2007,male,15-24 years,13,288349,4.51,10701011897,3863
Albania,ALB,2007,male,25-34 years,9,172494,5.22,10701011897,3863
Albania,ALB,2007,male,35-54 years,29,378626,7.66,10701011897,3863
Albania,ALB,2007,male,55-74 years,14,224160,6.25,10701011897,3863
Albania,ALB,2007,male,75+ years,8,42366,18.88,10701011897,3863
Albania,ALB,2007,female,5-14 years,0,256808,0,10701011897,3863
Albania,ALB,2007,female,15-24 years,13,281080,4.63,10701011897,3863
Albania,ALB,2007,female,25-34 years,8,183629,4.36,10701011897,3863
Albania,ALB,2007,female,35-54 years,14,391811,3.57,10701011897,3863
Albania,ALB,2007,female,55-74 years,9,221120,4.07,10701011897,3863
Albania,ALB,2007,female,75+ years,3,57404,5.23,10701011897,3863
Albania,ALB,2008,male,5-14 years,7,262464,2.67,12881352688,4672
Albania,ALB,2008,male,15-24 years,11,286702,3.84,12881352688,4672
Albania,ALB,2008,male,25-34 years,21,172855,12.15,12881352688,4672
Albania,ALB,2008,male,35-54 years,37,377119,9.81,12881352688,4672
Albania,ALB,2008,male,55-74 years,21,228672,9.18,12881352688,4672
Albania,ALB,2008,male,75+ years,2,44574,4.49,12881352688,4672
Albania,ALB,2008,female,5-14 years,1,246288,0.41,12881352688,4672
Albania,ALB,2008,female,15-24 years,20,276073,7.24,12881352688,4672
Albania,ALB,2008,female,25-34 years,9,182663,4.93,12881352688,4672
Albania,ALB,2008,female,35-54 years,19,393832,4.82,12881352688,4672
Albania,ALB,2008,female,55-74 years,7,226448,3.09,12881352688,4672
Albania,ALB,2008,female,75+ years,5,59369,8.42,12881352688,4672
Albania,ALB,2009,male,5-14 years,0,253007,0,12044212904,4387
Albania,ALB,2009,male,15-24 years,0,283448,0,12044212904,4387
Albania,ALB,2009,male,25-34 years,0,174955,0,12044212904,4387
