country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($),generation
Albania,ALB,2006,male,5-14 years,0,282678,0,8992642349,3235,Millenials
Albania,ALB,2006,male,15-24 years,0,286679,0,8992642349,3235,Millenials
Albania,ALB,2006,male,25-34 years,0,174092,0,8992642349,3235,Generation X
Albania,ALB,2006,male,35-54 years,0,379076,0,8992642349,3235,Boomers
Albania,ALB,2006,male,55-74 years,0,219360,0,8992642349,3235,Silent
Albania,ALB,2006,male,75+ years,0,40782,0,8992642349,3235,Silent
Albania,ALB,2006,female,5-14 years,0,267316,0,8992642349,3235,Millenials
Albania,ALB,2006,female,15-24 years,0,283138,0,8992642349,3235,Millenials
Albania,ALB,2006,female,25-34 years,0,186391,0,8992642349,3235,Generation X
Albania,ALB,2006,female,35-54 years,0,388746,0,8992642349,3235,Boomers
Albania,ALB,2006,female,55-74 years,0,215907,0,8992642349,3235,Silent
Albania,ALB,2006,female,75+ years,0,56011,0,8992642349,3235,Silent
Antigua and Barbuda,ATG,2006,male,5-14 years,0,8485,0,1157005444,14114,Millenials
Antigua and Barbuda,ATG,2006,male,15-24 years,0,7239,0,1157005444,14114,Millenials
Antigua and Barbuda,ATG,2006,male,25-34 years,0,6319,0,1157005444,14114,Generation X
Antigua and Barbuda,ATG,2006,male,35-54 years,0,12202,0,1157005444,14114,Boomers
Antigua and Barbuda,ATG,2006,male,55-74 years,0,3847,0,1157005444,14114,Silent
Antigua and Barbuda,ATG,2006,male,75+ years,0,1107,0,1157005444,14114,Silent
Antigua and Barbuda,ATG,2006,female,5-14 years,0,8571,0,1157005444,14114,Millenials
Antigua and Barbuda,ATG,2006,female,15-24 years,0,7902,0,1157005444,14114,Millenials
Antigua and Barbuda,ATG,2006,female,25-34 years,0,7098,0,1157005444,14114,Generation X
Antigua and Barbuda,ATG,2006,female,35-54 years,0,13374,0,1157005444,14114,Boomers
Antigua and Barbuda,ATG,2006,female,55-74 years,0,4256,0,1157005444,14114,Silent
Antigua and Barbuda,ATG,2006,female,75+ years,0,1573,0,1157005444,14114,Silent
Argentina,ARG,2006,male,5-14 years,39,3527369,1.11,2.33E+11,6475,Millenials
Argentina,ARG,2006,male,15-24 years,656,3357424,19.54,2.33E+11,6475,Millenials
Argentina,ARG,2006,male,25-34 years,483,3068991,15.74,2.33E+11,6475,Generation X
Argentina,ARG,2006,male,35-54 years,585,4383730,13.34,2.33E+11,6475,Boomers
Argentina,ARG,2006,male,55-74 years,487,2540712,19.17,2.33E+11,6475,Silent
Argentina,ARG,2006,male,75+ years,246,620010,39.68,2.33E+11,6475,Silent
Argentina,ARG,2006,female,5-14 years,26,3412126,0.76,2.33E+11,6475,Millenials
Argentina,ARG,2006,female,15-24 years,175,3271703,5.35,2.33E+11,6475,Millenials
Argentina,ARG,2006,female,25-34 years,105,3070419,3.42,2.33E+11,6475,Generation X
Argentina,ARG,2006,female,35-54 years,160,4549471,3.52,2.33E+11,6475,Boomers
Argentina,ARG,2006,female,55-74 years,115,2983954,3.85,2.33E+11,6475,Silent
Argentina,ARG,2006,female,75+ years,31,1132977,2.74,2.33E+11,6475,Silent
Armenia,ARM,2006,male,5-14 years,1,221941,0.45,6384451606,2310,Millenials
Armenia,ARM,2006,male,15-24 years,10,276127,3.62,6384451606,2310,Millenials
Armenia,ARM,2006,male,25-34 years,6,188382,3.19,6384451606,2310,Generation X
Armenia,ARM,2006,male,35-54 years,17,367346,4.63,6384451606,2310,Boomers
Armenia,ARM,2006,male,55-74 years,21,184526,11.38,6384451606,2310,Silent
Armenia,ARM,2006,male,75+ years,6,48123,12.47,6384451606,2310,Silent
Armenia,ARM,2006,female,5-14 years,0,203195,0,6384451606,2310,Millenials
Armenia,ARM,2006,female,15-24 years,0,290966,0,6384451606,2310,Millenials
Armenia,ARM,2006,female,25-34 years,2,215884,0.93,6384451606,2310,Generation X
Armenia,ARM,2006,female,35-54 years,5,450477,1.11,6384451606,2310,Boomers
Armenia,ARM,2006,female,55-74 years,8,238745,3.35,6384451606,2310,Silent
Armenia,ARM,2006,female,75+ years,2,78684,2.54,6384451606,2310,Silent
Aruba,ABW,2006,male,5-14 years,0,7575,0,2421474860,25622,Millenials
Aruba,ABW,2006,male,15-24 years,0,6519,0,2421474860,25622,Millenials
Aruba,ABW,2006,male,25-34 years,4,5994,66.73,2421474860,25622,Generation X
Aruba,ABW,2006,male,35-54 years,3,16086,18.65,2421474860,25622,Boomers
Aruba,ABW,2006,male,55-74 years,0,7316,0,2421474860,25622,Silent
Aruba,ABW,2006,male,75+ years,0,1225,0,2421474860,25622,Silent
Aruba,ABW,2006,female,5-14 years,0,7507,0,2421474860,25622,Millenials
Aruba,ABW,2006,female,15-24 years,0,6736,0,2421474860,25622,Millenials
Aruba,ABW,2006,female,25-34 years,0,6928,0,2421474860,25622,Generation X
Aruba,ABW,2006,female,35-54 years,2,18297,10.93,2421474860,25622,Boomers
Aruba,ABW,2006,female,55-74 years,0,8553,0,2421474860,25622,Silent
Aruba,ABW,2006,female,75+ years,0,1772,0,2421474860,25622,Silent
Australia,AUS,2006,male,5-14 years,7,1404186,0.5,7.46E+11,39014,Millenials
Australia,AUS,2006,male,15-24 years,230,1446866,15.9,7.46E+11,39014,Millenials
Australia,AUS,2006,male,25-34 years,277,1442942,19.2,7.46E+11,39014,Generation X
Australia,AUS,2006,male,35-54 years,686,2894571,23.7,7.46E+11,39014,Boomers
Australia,AUS,2006,male,55-74 years,309,1772439,17.43,7.46E+11,39014,Silent
Australia,AUS,2006,male,75+ years,114,506926,22.49,7.46E+11,39014,Silent
Australia,AUS,2006,female,5-14 years,1,1332380,0.08,7.46E+11,39014,Millenials
Australia,AUS,2006,female,15-24 years,68,1388615,4.9,7.46E+11,39014,Millenials
Australia,AUS,2006,female,25-34 years,74,1444570,5.12,7.46E+11,39014,Generation X
Australia,AUS,2006,female,35-54 years,195,2934459,6.65,7.46E+11,39014,Boomers
Australia,AUS,2006,female,55-74 years,115,1798232,6.4,7.46E+11,39014,Silent
Australia,AUS,2006,female,75+ years,41,743060,5.52,7.46E+11,39014,Silent
Austria,AUT,2006,male,5-14 years,1,464213,0.22,3.36E+11,42698,Millenials
Austria,AUT,2006,male,15-24 years,77,517546,14.88,3.36E+11,42698,Millenials
Austria,AUT,2006,male,25-34 years,103,545467,18.88,3.36E+11,42698,Generation X
Austria,AUT,2006,male,35-54 years,382,1281251,29.81,3.36E+11,42698,Boomers
Austria,AUT,2006,male,55-74 years,266,791509,33.61,3.36E+11,42698,Silent
Austria,AUT,2006,male,75+ years,171,218168,78.38,3.36E+11,42698,Silent
Austria,AUT,2006,female,5-14 years,0,441264,0,3.36E+11,42698,Millenials
Austria,AUT,2006,female,15-24 years,16,499388,3.2,3.36E+11,42698,Millenials
Austria,AUT,2006,female,25-34 years,18,542011,3.32,3.36E+11,42698,Generation X
Austria,AUT,2006,female,35-54 years,91,1265873,7.19,3.36E+11,42698,Boomers
Austria,AUT,2006,female,55-74 years,91,876832,10.38,3.36E+11,42698,Silent
Austria,AUT,2006,female,75+ years,81,425747,19.03,3.36E+11,42698,Silent
Bahamas,BHS,2006,male,5-14 years,0,28912,0,10167250000,32957,Millenials
Bahamas,BHS,2006,male,15-24 years,1,29472,3.39,10167250000,32957,Millenials
Bahamas,BHS,2006,male,25-34 years,0,26713,0,10167250000,32957,Generation X
Bahamas,BHS,2006,male,35-54 years,1,44490,2.25,10167250000,32957,Boomers
Bahamas,BHS,2006,male,55-74 years,0,17743,0,10167250000,32957,Silent
Bahamas,BHS,2006,male,75+ years,0,2744,0,10167250000,32957,Silent
Bahamas,BHS,2006,female,5-14 years,0,28256,0,10167250000,32957,Millenials
Bahamas,BHS,2006,female,15-24 years,0,29420,0,10167250000,32957,Millenials
Bahamas,BHS,2006,female,25-34 years,0,27172,0,10167250000,32957,Generation X
Bahamas,BHS,2006,female,35-54 years,0,47679,0,10167250000,32957,Boomers
Bahamas,BHS,2006,female,55-74 years,0,21081,0,10167250000,32957,Silent
Bahamas,BHS,2006,female,75+ years,0,4817,0,10167250000,32957,Silent
Bahrain,BHR,2006,male,5-14 years,0,71974,0,18505053191,20826,Millenials
Bahrain,BHR,2006,male,15-24 years,1,86090,1.16,18505053191,20826,Millenials
Bahrain,BHR,2006,male,25-34 years,12,158656,7.56,18505053191,20826,Generation X
Bahrain,BHR,2006,male,35-54 years,3,192597,1.56,18505053191,20826,Boomers
Bahrain,BHR,2006,male,55-74 years,1,29960,3.34,18505053191,20826,Silent
Bahrain,BHR,2006,male,75+ years,0,4439,0,18505053191,20826,Silent
Bahrain,BHR,2006,female,5-14 years,0,68590,0,18505053191,20826,Millenials
Bahrain,BHR,2006,female,15-24 years,3,69020,4.35,18505053191,20826,Millenials
Bahrain,BHR,2006,female,25-34 years,5,80271,6.23,18505053191,20826,Generation X
Bahrain,BHR,2006,female,35-54 years,3,100668,2.98,18505053191,20826,Boomers
Bahrain,BHR,2006,female,55-74 years,0,21363,0,18505053191,20826,Silent
Bahrain,BHR,2006,female,75+ years,0,4915,0,18505053191,20826,Silent
Barbados,BRB,2006,male,5-14 years,0,19435,0,4246600000,16531,Millenials
Barbados,BRB,2006,male,15-24 years,0,19356,0,4246600000,16531,Millenials
Barbados,BRB,2006,male,25-34 years,2,19677,10.16,4246600000,16531,Generation X
Barbados,BRB,2006,male,35-54 years,5,38972,12.83,4246600000,16531,Boomers
Barbados,BRB,2006,male,55-74 years,1,19527,5.12,4246600000,16531,Silent
Barbados,BRB,2006,male,75+ years,1,5792,17.27,4246600000,16531,Silent
Barbados,BRB,2006,female,5-14 years,0,18922,0,4246600000,16531,Millenials
Barbados,BRB,2006,female,15-24 years,0,19383,0,4246600000,16531,Millenials
Barbados,BRB,2006,female,25-34 years,0,20256,0,4246600000,16531,Generation X
Barbados,BRB,2006,female,35-54 years,0,42772,0,4246600000,16531,Boomers
Barbados,BRB,2006,female,55-74 years,0,23361,0,4246600000,16531,Silent
Barbados,BRB,2006,female,75+ years,0,9430,0,4246600000,16531,Silent
Belgium,BEL,2006,male,5-14 years,1,619058,0.16,4.10E+11,41135,Millenials
Belgium,BEL,2006,male,15-24 years,86,645841,13.32,4.10E+11,41135,Millenials
Belgium,BEL,2006,male,25-34 years,217,689593,31.47,4.10E+11,41135,Generation X
Belgium,BEL,2006,male,35-54 years,616,1559144,39.51,4.10E+11,41135,Boomers
Belgium,BEL,2006,male,55-74 years,333,1029722,32.34,4.10E+11,41135,Silent
Belgium,BEL,2006,male,75+ years,142,319905,44.39,4.10E+11,41135,Silent
Belgium,BEL,2006,female,5-14 years,3,592596,0.51,4.10E+11,41135,Millenials
Belgium,BEL,2006,female,15-24 years,27,629311,4.29,4.10E+11,41135,Millenials
Belgium,BEL,2006,female,25-34 years,50,680859,7.34,4.10E+11,41135,Generation X
Belgium,BEL,2006,female,35-54 years,229,1532206,14.95,4.10E+11,41135,Boomers
Belgium,BEL,2006,female,55-74 years,167,1113517,15,4.10E+11,41135,Silent
Belgium,BEL,2006,female,75+ years,64,550950,11.62,4.10E+11,41135,Silent
Belize,BLZ,2006,male,5-14 years,1,37049,2.7,1217467600,4815,Millenials
Belize,BLZ,2006,male,15-24 years,3,29465,10.18,1217467600,4815,Millenials
Belize,BLZ,2006,male,25-34 years,1,23131,4.32,1217467600,4815,Generation X
Belize,BLZ,2006,male,35-54 years,4,27451,14.57,1217467600,4815,Boomers
Belize,BLZ,2006,male,55-74 years,0,7990,0,1217467600,4815,Silent
Belize,BLZ,2006,male,75+ years,0,1687,0,1217467600,4815,Silent
Belize,BLZ,2006,female,5-14 years,1,36453,2.74,1217467600,4815,Millenials
Belize,BLZ,2006,female,15-24 years,1,29322,3.41,1217467600,4815,Millenials
Belize,BLZ,2006,female,25-34 years,0,23214,0,1217467600,4815,Generation X
Belize,BLZ,2006,female,35-54 years,0,27049,0,1217467600,4815,Boomers
Belize,BLZ,2006,female,55-74 years,0,8095,0,1217467600,4815,Silent
Belize,BLZ,2006,female,75+ years,0,1920,0,1217467600,4815,Silent
Brazil,BRA,2006,male,5-14 years,64,17731288,0.36,1.11E+12,6403,Millenials
